area_sqft,bedrooms,bathrooms,age_years,parking_spaces,location_score,price
850,2,1,15,1,6.0,180000
1000,2,2,10,1,7.0,220000
1200,3,2,8,1,7.5,270000
1400,3,2,5,2,8.0,320000
1600,3,2,7,2,8.5,360000
1800,4,3,5,2,8.5,420000
2000,4,3,3,2,9.0,480000
2200,4,3,4,2,9.0,510000
2400,5,3,2,3,9.5,580000
2600,5,4,3,3,9.5,630000
900,2,1,20,1,5.5,165000
1100,3,2,12,1,6.5,235000
1300,3,2,10,2,7.0,285000
1500,3,2,6,2,7.5,335000
1700,4,2,8,2,8.0,380000
1900,4,3,6,2,8.5,445000
2100,4,3,5,3,8.5,495000
2300,5,3,4,3,9.0,550000
2500,5,4,3,3,9.5,610000
2800,5,4,2,3,9.8,690000
